content_required,checklist_completed,discussion_post_read,number_of_assignment_submissions,total_time_spent_in_content,term,pseudo_course,gender,imm_status,age,total_course_count,course_count_by_term,completion_ratio,logins_per_course,avg_time_per_login,avg_time_by_completed_content,quiz_attempts_per_quiz,Classifier
25,0,0,0,32,F,course_161,M,domestic,23,2,2.0,0.04,133.5,0.2397003745318352,32.0,0.0,KNN
59,0,0,3,5982,F,course_92,M,domestic,22,7,7.0,0.3220338983050847,44.142857142857146,135.51456310679612,314.8421052631579,0.0,KNN
71,0,0,15,5030,F,course_1,F,international,20,13,6.0,0.5633802816901409,116.6923076923077,43.10481212920237,125.75,1.5,KNN
39,0,0,5,4991,F,course_92,M,domestic,21,9,6.0,0.717948717948718,86.55555555555556,57.662387676508345,178.25,1.0,KNN
174,0,0,0,19557,F,course_9,F,domestic,25,9,4.0,0.41954022988505746,390.6666666666667,50.060580204778155,267.90410958904107,0.0,KNN
35,0,0,0,9258,F,course_138,F,domestic,43,13,7.0,0.6,15.23076923076923,607.8484848484849,440.85714285714283,1.0,KNN
30,0,0,3,2222,F,course_272,M,domestic,19,14,7.0,0.5666666666666667,26.0,85.46153846153847,130.7058823529412,1.0,KNN
96,0,0,0,40541,F,course_8,F,domestic,21,5,5.0,0.9479166666666666,175.8,230.60864618885094,445.5054945054945,0.0,KNN
119,0,0,0,600,F,course_142,M,domestic,20,13,7.0,0.13445378151260504,17.307692307692307,34.66666666666667,37.5,0.0,KNN
27,0,0,0,1968,F,course_52,F,domestic,19,9,6.0,0.48148148148148145,30.0,65.6,151.3846153846154,0.0,KNN
39,0,0,1,7584,F,course_92,F,domestic,19,9,6.0,0.48717948717948717,30.0,252.8,399.1578947368421,1.0,KNN
27,0,0,0,3423,F,course_52,M,domestic,19,10,6.0,0.3333333333333333,29.9,114.48160535117057,380.3333333333333,0.0,KNN
29,0,0,10,2823,F,course_6,M,domestic,24,8,2.0,0.5862068965517241,246.875,11.434936708860759,166.05882352941177,0.0,KNN
90,0,0,7,17035,F,course_92,M,domestic,25,7,7.0,0.16666666666666666,34.0,501.02941176470586,1135.6666666666667,0.0,KNN
18,6,0,9,8460,F,course_5,M,domestic,22,6,6.0,0.3333333333333333,120.33333333333333,70.30470914127424,1410.0,0.0,KNN
