content_completed,content_required,checklist_completed,quiz_completed,total_quiz_attempts,discussion_post_created,discussion_post_replies,discussion_post_read,number_of_assignment_submissions,total_time_spent_in_content,number_of_logins_to_the_system,term,pseudo_course,gender,imm_status,age,total_course_count,course_count_by_term,completion_ratio,logins_per_course,avg_time_per_login,avg_time_by_completed_content,at_risk
72,174,0,0,0,0,0,0,0,38317,4083,F,course_9,M,domestic,22,11,5.0,0.41379310344827586,371.1818181818182,103.22973303943179,532.1805555555555,0
72,110,0,0,0,0,0,0,0,548,2692,F,course_348,M,international,39,11,6.0,0.6545454545454545,244.72727272727272,2.239227340267459,7.611111111111111,0
72,122,0,6,7,0,0,0,0,2942,708,F,course_317,M,international,27,7,6.0,0.5901639344262295,101.14285714285714,29.087570621468927,40.861111111111114,0
71,88,0,8,8,0,0,0,6,7763,599,F,course_154,M,domestic,19,13,6.0,0.8068181818181818,46.07692307692308,168.47913188647746,109.33802816901408,0
71,122,0,6,7,0,0,0,1,3113,2439,F,course_317,M,international,28,7,6.0,0.5819672131147541,348.42857142857144,8.934399343993439,43.84507042253521,0
71,81,0,12,12,0,0,0,4,21793,303,F,course_162,F,domestic,22,6,6.0,0.8765432098765432,50.5,431.54455445544556,306.943661971831,0
71,71,0,0,0,0,0,0,7,29768,1965,F,course_233,M,international,28,17,6.0,1.0,115.58823529411765,257.5348600508906,419.2676056338028,1
71,122,0,7,10,0,0,0,1,788,852,F,course_317,M,international,29,7,6.0,0.5819672131147541,121.71428571428571,6.474178403755869,11.098591549295774,0
71,149,0,0,0,4,20,63,5,4398,1446,F,course_195,M,international,29,8,7.0,0.47651006711409394,180.75,24.33195020746888,61.943661971830984,0
71,117,0,0,0,0,0,0,21,19655,752,F,course_325,F,international,23,13,7.0,0.6068376068376068,57.84615384615385,339.780585106383,276.83098591549293,0
71,72,0,5,5,0,0,0,15,29340,813,F,course_303,F,domestic,22,12,7.0,0.9861111111111112,67.75,433.0627306273063,413.23943661971833,0
71,71,0,0,0,0,0,0,4,61275,693,F,course_117,F,international,24,12,7.0,1.0,57.75,1061.0389610389611,863.0281690140845,0
71,71,0,0,0,0,0,0,4,97867,1280,F,course_117,F,international,23,12,7.0,1.0,106.66666666666667,917.503125,1378.4084507042253,0
71,92,0,4,4,3,4,13,5,48629,662,F,course_21,F,international,28,13,6.0,0.7717391304347826,50.92307692307692,954.9501510574019,684.9154929577464,0
71,72,0,5,5,0,0,0,12,17293,571,F,course_303,F,domestic,21,13,7.0,0.9861111111111112,43.92307692307692,393.71103327495626,243.56338028169014,0
71,90,0,0,0,0,0,0,9,125964,1011,F,course_189,F,domestic,22,12,6.0,0.7888888888888889,84.25,1495.1216617210682,1774.1408450704225,0
71,96,0,0,0,0,0,0,0,31602,801,F,course_8,F,domestic,20,12,6.0,0.7395833333333334,66.75,473.438202247191,445.09859154929575,0
71,71,0,0,0,0,0,0,5,89203,1099,F,course_117,F,international,24,12,7.0,1.0,91.58333333333333,974.0090991810738,1256.380281690141,0
71,96,0,0,0,0,0,0,0,41077,1278,F,course_8,F,international,20,13,6.0,0.7395833333333334,98.3076923076923,417.84115805946794,578.5492957746479,0
71,117,0,0,0,0,0,0,13,28828,918,F,course_325,M,international,24,11,6.0,0.6068376068376068,83.45454545454545,345.4335511982571,406.0281690140845,0
71,95,0,10,35,0,0,0,5,59714,3154,F,course_36,M,domestic,30,12,6.0,0.7473684210526316,262.8333333333333,227.19340519974637,841.0422535211268,0
71,83,0,5,5,0,0,0,2,67168,1361,F,course_66,M,international,26,22,8.0,0.8554216867469879,61.86363636363637,1085.7428361498896,946.0281690140845,1
71,90,0,0,0,0,0,0,11,29568,980,F,course_189,F,domestic,19,12,6.0,0.7888888888888889,81.66666666666667,362.0571428571428,416.4507042253521,0
71,106,0,3,3,0,0,0,6,140,1121,F,course_103,F,domestic,22,15,5.0,0.6698113207547169,74.73333333333333,1.873327386262266,1.971830985915493,0
